recordtime,A3outsiders_windiv,jockeychallenge_combo_div,winoddsrank,dbltrio3_combo_div,railtype_s,racesurface_s,owner,dbl2_combo_div,raceclass,newclass_s,dbltrio2_combo_div,jockey_id,trio_combo_div,horse_id,horsenumber,racecoursecode,race_id,theresults,dbl5_combo_div,racepace,dbl4_combo_div,win_combo_div,tce_combo_div,racegoing_s,market_prob,recordtimeperlength,dbl9_combo_div,favpos,dbl3_combo_div,horsereport,A1topfavs_windiv,trainercode,dbl8_combo_div,dbltrio1_combo_div,winodds,race_total_prob,qn_combo_div,finishtime,horsecode,winningtrainercode,runnerslist,metaspeedrank,place_combo_div,runningpositions,racedate,racesurface,jockeycode,marginsbehindleader,racegoing,dbl10_combo_div,winoddsranks,winningjockeycode,sec_timelist,racenumber,dbl6_combo_div,qtt_combo_div,dbl1_combo_div,sixup_combo_div,tripletrio_combo_div,norunners,dbl7_combo_div,qnp_combo_div,tripletriocons_combo_div,racetrainers,f4_combo_div,A2midpricers_windiv,racerating_s,raceday_id,racedistance,stdtime,favodds,place,winningsecs,horsespeedrating
118.0,,,1,,,,,,Class 3,,,,"2,6,10,1,583.00",,1,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"Shortly after the start, DESMIOS became badly unbalanced after being bumped on the shoulder by EASTERN EXPRESS which, after being brushed by GIANT TURTLE, then got its head on the side and shifted out away from that horseNear the 1400 Metres, EASTERN EXPRESS shifted in and bumped GIANT TURTLEAfter the 1200 Metres, EASTERN EXPRESS got its head up when awkwardly placed close to the heels of NORTHERN FALLSEASTERN EXPRESS and MCQUEEN were sent for sampling",,,,,4.2,0.0,"2,10,1,368.50",108.06,T192,SJJ,,,"10,17.50","2,2,2,2,1",20160117,TURF ,TEK,"[0.3, 1.25, 0.75, 0.1, 0.5, None]",G,,,TEK,"[13.86, 21.72, 24.58, 24.17, 23.73, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,1,"[13.82, 21.56, 24.66, 24.29, 23.73]",1092.0
118.0,,,13,,,,,,Class 3,,,,"2,6,10,1,583.00",,2,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,EASTERN EXPRESS and MCQUEEN were sent for sampling,,,,,63.0,0.0,"2,10,1,368.50",108.16,V013,SJJ,,,"10,17.50","6,6,6,5,2",20160117,TURF ,FRA,"[1.5, 5.0, 4.0, 2.75, 0.5, None]",G,,,TEK,"[14.06, 22.12, 24.5, 24.09, 23.39, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,2,"[13.82, 21.56, 24.66, 24.29, 23.73]",1091.0
118.0,,,2,,,,,,Class 3,,,,"2,6,10,1,583.00",,3,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"After the 400 Metres, ASHKIYR was shifted to the inside of the heels of INDUSTRIALIST WAY to obtain clear running",,,,,4.3,0.0,"2,10,1,368.50",108.34,S023,SJJ,,,"10,17.50","8,8,8,8,3",20160117,TURF ,MR,"[3.25, 7.25, 5.5, 5.25, 1.75, None]",G,,,TEK,"[14.34, 22.2, 24.38, 24.25, 23.17, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,3,"[13.82, 21.56, 24.66, 24.29, 23.73]",1089.0
118.0,,,10,,,,,,Class 3,,,,"2,6,10,1,583.00",,4,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,,,,,,25.0,0.0,"2,10,1,368.50",108.5,S388,SJJ,,,"10,17.50","5,4,4,4,4",20160117,TURF ,LHW,"[1.0, 2.0, 2.25, 2.0, 2.75, None]",G,,,TEK,"[13.98, 21.72, 24.7, 24.25, 23.85, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,4,"[13.82, 21.56, 24.66, 24.29, 23.73]",1088.0
118.0,,,8,,,,,,Class 3,,,,"2,6,10,1,583.00",,5,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"After the 400 Metres, ASHKIYR was shifted to the inside of the heels of INDUSTRIALIST WAY to obtain clear running",,,,,20.0,0.0,"2,10,1,368.50",108.56,P151,SJJ,,,"10,17.50","9,10,9,10,5",20160117,TURF ,PB,"[3.75, 8.25, 7.0, 6.25, 3.25, None]",G,,,TEK,"[14.42, 22.28, 24.46, 24.17, 23.23, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,5,"[13.82, 21.56, 24.66, 24.29, 23.73]",1087.0
118.0,,,3,,,,,,Class 3,,,,"2,6,10,1,583.00",,6,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"Making the turn approaching the 900 Metres, BAMBOO DANCE got its head up when being checked away from the heels of TERRIFIC MASTER and shifted in abruptly, making heavy contact with the hindquarters of HAPPILABABY which became badly unbalancedIn the early part of the Straight, BAMBOO DANCE was shifted towards the outside railHe said along the Back Straight HAPPILABABY raced with its head on the side and then making the first turn became badly unbalanced when bumped heavily on the hindquarters by BAMBOO DANCE which resulted in the horse again losing ground",,,,,6.1,0.0,"2,10,1,368.50",108.75,M327,SJJ,,,"10,17.50","13,13,14,14,6",20160117,TURF ,MOJ,"[5.75, 11.25, 9.75, 7.75, 4.25, None]",G,,,TEK,"[14.74, 22.44, 24.42, 23.97, 23.18, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,6,"[13.82, 21.56, 24.66, 24.29, 23.73]",1085.0
118.0,,,13,,,,,,Class 3,,,,"2,6,10,1,583.00",,7,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,,,,,,63.0,0.0,"2,10,1,368.50",108.99,T363,SJJ,,,"10,17.50","11,11,12,11,7",20160117,TURF ,YML,"[4.75, 9.5, 8.25, 7.0, 5.75, None]",G,,,TEK,"[14.58, 22.32, 24.46, 24.09, 23.54, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,7,"[13.82, 21.56, 24.66, 24.29, 23.73]",1083.0
118.0,,,5,,,,,,Class 3,,,,"2,6,10,1,583.00",,8,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"Shortly after the start, DESMIOS became badly unbalanced after being bumped on the shoulder by EASTERN EXPRESS which, after being brushed by GIANT TURTLE, then got its head on the side and shifted out away from that horseFor some distance after the 800 Metres, TERRIFIC MASTER was awkwardly placed close to the heels of DESMIOS",,,,,9.1,0.0,"2,10,1,368.50",109.01,T142,SJJ,,,"10,17.50","10,9,10,9,8",20160117,TURF ,MG,"[4.25, 8.0, 7.0, 5.5, 6.0, None]",G,,,TEK,"[14.5, 22.16, 24.5, 24.05, 23.8, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,8,"[13.82, 21.56, 24.66, 24.29, 23.73]",1082.0
118.0,,,6,,,,,,Class 3,,,,"2,6,10,1,583.00",,9,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"Making the turn approaching the 900 Metres, BAMBOO DANCE got its head up when being checked away from the heels of TERRIFIC MASTER and shifted in abruptly, making heavy contact with the hindquarters of HAPPILABABY which became badly unbalancedFor some distance after the 800 Metres, TERRIFIC MASTER was awkwardly placed close to the heels of DESMIOS",,,,,15.0,0.0,"2,10,1,368.50",109.18,P436,SJJ,,,"10,17.50","12,12,11,13,9",20160117,TURF ,HCY,"[5.25, 9.75, 8.25, 7.5, 7.0, None]",G,,,TEK,"[14.66, 22.28, 24.42, 24.17, 23.65, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,9,"[13.82, 21.56, 24.66, 24.29, 23.73]",1081.0
118.0,,,14,,,,,,Class 3,,,,"2,6,10,1,583.00",,10,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,,,,,,67.0,0.0,"2,10,1,368.50",109.31,V190,SJJ,,,"10,17.50","3,3,3,3,10",20160117,TURF ,NGA,"[0.5, 1.75, 1.75, 2.0, 7.75, None]",G,,,TEK,"[13.9, 21.76, 24.66, 24.33, 24.66, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,10,"[13.82, 21.56, 24.66, 24.29, 23.73]",1079.0
118.0,,,4,,,,,,Class 3,,,,"2,6,10,1,583.00",,11,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"Making the turn approaching the 900 Metres, BAMBOO DANCE got its head up when being checked away from the heels of TERRIFIC MASTER and shifted in abruptly, making heavy contact with the hindquarters of HAPPILABABY which became badly unbalancedWhen questioned regarding the performance of HAPPILABABY, N Callan stated that after being loaded his mount became fractious and as the start was effected began very awkwardly and made heavy contact with the inside of its gate, resulting in the horse losing groundHe said he rode HAPPILABABY along in the early stages in an endeavour to make up lost ground, however, HAPPILABABY was reluctant to improve its positionHe said along the Back Straight HAPPILABABY raced with its head on the side and then making the first turn became badly unbalanced when bumped heavily on the hindquarters by BAMBOO DANCE which resulted in the horse again losing groundHe added after this HAPPILABABY did not travel well and continue to want to lay inHe said whilst this was the first occasion that he had ridden the horse in a race, after having ridden it in a barrier trial in the lead up to today's race, HAPPILABABY appeared to him to race well when able to travel on the bridle which was not the case today because of the manner in which the horse began and then being bumped near the 900 MetresHe said because of these circumstances HAPPILABABY did not run on as expected in the StraightA veterinary inspection of HAPPILABABY immediately following the race did not show any significant findings",,,,,6.5,0.0,"2,10,1,368.50",109.34,T315,SJJ,,,"10,17.50","14,14,13,12,11",20160117,TURF ,CAN,"[6.0, 11.75, 8.5, 7.25, 8.0, None]",G,,,TEK,"[14.78, 22.48, 24.14, 24.09, 23.85, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,11,"[13.82, 21.56, 24.66, 24.29, 23.73]",1079.0
118.0,,,10,,,,,,Class 3,,,,"2,6,10,1,583.00",,12,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"After the 1200 Metres, EASTERN EXPRESS got its head up when awkwardly placed close to the heels of NORTHERN FALLS",,,,,25.0,0.0,"2,10,1,368.50",109.38,T354,SJJ,,,"10,17.50","1,1,1,1,12",20160117,TURF ,SCC,"[0.3, 1.25, 0.75, 0.1, 8.25, None]",G,,,TEK,"[13.82, 21.56, 24.66, 24.29, 25.05, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,12,"[13.82, 21.56, 24.66, 24.29, 23.73]",1079.0
118.0,,,11,,,,,,Class 3,,,,"2,6,10,1,583.00",,13,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"Shortly after the start, DESMIOS became badly unbalanced after being bumped on the shoulder by EASTERN EXPRESS which, after being brushed by GIANT TURTLE, then got its head on the side and shifted out away from that horseNear the 1400 Metres, EASTERN EXPRESS shifted in and bumped GIANT TURTLE",,,,,52.0,0.0,"2,10,1,368.50",109.93,T391,SJJ,,,"10,17.50","4,5,5,6,13",20160117,TURF ,DSS,"[0.75, 2.75, 3.0, 3.5, 11.75, None]",G,,,TEK,"[13.94, 21.88, 24.7, 24.37, 25.04, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,13,"[13.82, 21.56, 24.66, 24.29, 23.73]",1073.0
118.0,,,7,,,,,,Class 3,,,,"2,6,10,1,583.00",,14,ST,,1-2-3-4,,-0.39,,"10,42.50","10,2,6,12,009.00",,,0.019981333333333334,,1,,"After the race, the Veterinary Officer reported that TOP ACE had bled from both nostrils",,,,,16.0,0.0,"2,10,1,368.50",110.0,T199,SJJ,,,"10,17.50","7,7,7,7,14",20160117,TURF ,CHV,"[3.0, 6.75, 5.25, 5.0, 12.25, None]",G,,,TEK,"[14.3, 22.16, 24.42, 24.25, 24.87, None]",5,,"10,2,6,14,197,789.00",,,,,,"2,10,391.50",,"Counter({u'CAS': 2, u'GR': 1, u'MKL': 1, u'HAD': 1, u'YTP': 1, u'CD': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'YPF': 1, u'WS': 1, u'SA': 1, u'SCS': 1})","2,6,10,14,6,684.00",,,,1800,108.45,4.2,14,"[13.82, 21.56, 24.66, 24.29, 23.73]",1073.0
81.4,,,2,,,,,,Class 4,,,,"1,4,8,651.00",,1,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,BOLD STITCH and RIGHT CALL were sent for sampling,,,,,3.9,0.0,"4,8,71.50",82.26,S323,MA,,,"8,16.00","6,5,6,1",20160117,TURF ,DSS,"[2.25, 3.0, 2.5, 2.0, None, None]",G,,,DSS,"[13.9, 21.66, 23.31, 23.39, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,1,"[13.54, 21.54, 23.39, 23.79]",990.0
81.4,,,1,,,,,,Class 4,,,,"1,4,8,651.00",,2,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,"Passing the 350 Metres, IMPERIAL SEAL was bumped and taken out by RIGHT CALL (J Moreira) which shifted out into clear runningBOLD STITCH and RIGHT CALL were sent for sampling",,,,,2.8,0.0,"4,8,71.50",82.58,V024,MA,,,"8,16.00","3,3,3,2",20160117,TURF ,MOJ,"[1.0, 1.5, 1.25, 2.0, None, None]",G,,,DSS,"[13.7, 21.62, 23.35, 23.91, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,2,"[13.54, 21.54, 23.39, 23.79]",986.0
81.4,,,12,,,,,,Class 4,,,,"1,4,8,651.00",,3,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,"Near the 150 Metres, AMAZING ALWAYS was momentarily crowded for room between HAPPY JOURNEY and SAFARI MAGIC, both of which shifted marginal ground",,,,,42.0,0.0,"4,8,71.50",82.82,S299,MA,,,"8,16.00","10,10,10,3",20160117,TURF ,FRA,"[5.5, 8.25, 6.75, 3.5, None, None]",G,,,DSS,"[14.42, 21.98, 23.15, 23.27, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,3,"[13.54, 21.54, 23.39, 23.79]",983.0
81.4,,,9,,,,,,Class 4,,,,"1,4,8,651.00",,4,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,"After the 1300 Metres, IMPERIAL SEAL commenced to prove difficult to settle and was restrained away from the heels of BORN TO WINPassing the 100 Metres, VICTOR EMPEROR was shifted to the inside of BORN TO WIN to obtain clear running after being steadied when disappointed for running between BORN TO WIN and IMPERIAL SEAL which shifted in",,,,,27.0,0.0,"4,8,71.50",82.86,N386,MA,,,"8,16.00","2,2,2,4",20160117,TURF ,SCC,"[0.75, 1.0, 0.3, 3.75, None, None]",G,,,DSS,"[13.66, 21.58, 23.27, 24.35, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,4,"[13.54, 21.54, 23.39, 23.79]",982.0
81.4,,,4,,,,,,Class 4,,,,"1,4,8,651.00",,5,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,"From wide barriers, VICTOR EMPEROR and ROYALE ELEGANCE were shifted across behind runners in the early stagesPassing the 100 Metres, VICTOR EMPEROR was shifted to the inside of BORN TO WIN to obtain clear running after being steadied when disappointed for running between BORN TO WIN and IMPERIAL SEAL which shifted in",,,,,7.9,0.0,"4,8,71.50",82.89,S425,MA,,,"8,16.00","11,11,11,5",20160117,TURF ,MR,"[6.0, 8.25, 7.0, 4.0, None, None]",G,,,DSS,"[14.5, 21.9, 23.19, 23.3, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,5,"[13.54, 21.54, 23.39, 23.79]",982.0
81.4,,,10,,,,,,Class 4,,,,"1,4,8,651.00",,6,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,"Near the 150 Metres, AMAZING ALWAYS was momentarily crowded for room between HAPPY JOURNEY and SAFARI MAGIC, both of which shifted marginal groundFor the majority of the race, SAFARI MAGIC travelled wide and without coverWhilst the Stewards were satisfied that the riding of Y T Cheng (SAFARI MAGIC), 6th placegetter, over the concluding stages did not affect the horse's finishing position, he was nonetheless reminded of his obligation to ride his mounts out at least hands and heels all the way to the end of the race where circumstances permit",,,,,33.0,0.0,"4,8,71.50",82.93,N166,MA,,,"8,16.00","7,9,7,6",20160117,TURF ,CYT,"[2.5, 6.25, 4.25, 4.25, None, None]",G,,,DSS,"[13.94, 22.14, 23.07, 23.78, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,6,"[13.54, 21.54, 23.39, 23.79]",982.0
81.4,,,12,,,,,,Class 4,,,,"1,4,8,651.00",,7,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,"K C Leung (MASSIVE POWER) pleaded guilty to a charge of careless riding [Rule 100(1)] in that near the 950 Metres he permitted his mount to shift in when not clear of AMAZING ALWAYS, causing that horse to be severely checked when crowded onto INNOVATIVE WINNER which was also severely hamperedOver the concluding stages, DANEWIN EXPRESS was awkwardly placed between MASSIVE POWER and IMPERIAL SEAL and consequently was not able to be ridden out all the way to the end of the race",,,,,42.0,0.0,"4,8,71.50",82.94,T339,MA,,,"8,16.00","4,6,5,7",20160117,TURF ,LDE,"[1.5, 4.25, 2.5, 4.25, None, None]",G,,,DSS,"[13.78, 21.98, 23.11, 24.07, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,7,"[13.54, 21.54, 23.39, 23.79]",981.0
81.4,,,14,,,,,,Class 4,,,,"1,4,8,651.00",,8,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,"After the 1300 Metres, IMPERIAL SEAL commenced to prove difficult to settle and was restrained away from the heels of BORN TO WINPassing the 350 Metres, IMPERIAL SEAL was bumped and taken out by RIGHT CALL (J Moreira) which shifted out into clear runningPassing the 100 Metres, VICTOR EMPEROR was shifted to the inside of BORN TO WIN to obtain clear running after being steadied when disappointed for running between BORN TO WIN and IMPERIAL SEAL which shifted inOver the concluding stages, DANEWIN EXPRESS was awkwardly placed between MASSIVE POWER and IMPERIAL SEAL and consequently was not able to be ridden out all the way to the end of the race",,,,,99.0,0.0,"4,8,71.50",82.94,T223,MA,,,"8,16.00","5,4,4,8",20160117,TURF ,CAN,"[2.0, 2.5, 1.75, 4.25, None, None]",G,,,DSS,"[13.86, 21.62, 23.27, 24.19, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,8,"[13.54, 21.54, 23.39, 23.79]",981.0
81.4,,,5,,,,,,Class 4,,,,"1,4,8,651.00",,9,ST,,1-2-3-4,"10/8,170.00",-0.24,,"8,39.00","8,4,1,3,061.00",,,0.01772194285714286,,2,,"From wide barriers, VICTOR EMPEROR and ROYALE ELEGANCE were shifted across behind runners in the early stagesApproaching the 1000 Metres, ROYALE ELEGANCE was awkwardly placed close to the heels of UNIQUE AWESOMEHe said on jumping DANEWIN EXPRESS got its head up on a number of occasions and began awkwardly before bumping with ROYALE ELEGANCE which shifted in",,,,,13.0,0.0,"4,8,71.50",83.01,S098,MA,,,"8,16.00","13,14,14,9",20160117,TURF ,WD,"[7.0, 11.25, 8.75, 4.75, None, None]",G,,,DSS,"[14.66, 22.22, 22.99, 23.14, None, None]",6,,"8,4,1,12,32,896.00",,,"1,2>5,10/2,6,10/1,4,8,3,826,375.00",,,"4,8,29.50","1,2>5,10/2,6,10/Any combination,11,942.00","Counter({u'LAL': 1, u'CAS': 1, u'MA': 1, u'GR': 1, u'FC': 1, u'MKL': 1, u'SJJ': 1, u'JM': 1, u'YCH': 1, u'WS': 1, u'HL': 1, u'FD': 1, u'SA': 1, u'TYS': 1})","1,4,8,12,2,362.00",,,,1400,82.5,2.8,9,"[13.54, 21.54, 23.39, 23.79]",981.0
